K,AvgQuality,StdQuality,AvgLatency,StdLatency,MaxLatency,SampleCount,NormLatency,TradeoffScore
1,2.1,1.125,0.992,0.165,1.518,30,0.004465191800284153,0.4186604424599148
2,2.267,1.143,0.948,0.132,1.154,30,0.0,0.45339999999999997
3,2.567,1.278,1.33,1.056,4.523,30,0.038765983357012396,0.5017702049928964
5,2.833,1.51,1.767,1.421,4.899,30,0.08311345646437995,0.541665963060686
7,2.8,1.424,1.734,1.407,4.562,30,0.07976456261416684,0.5360706312157499
10,3.167,1.599,2.879,2.529,7.426,30,0.19596103105337936,0.5746116906839862
15,3.333,1.561,7.042,2.67,10.004,30,0.6184290643393545,0.4810712806981937
20,3.233,1.675,10.802,1.086,12.827,30,1.0,0.3466000000000001
