K,Questions,Avg_Latency,Std_Latency,Min_Latency,Max_Latency,Answered,Insufficient,Avg_Quality,Std_Quality,Avg_BLEU,Avg_ROUGE_L,Std_ROUGE_L,Avg_Answer_Relevance,Avg_Faithfulness_Proxy,Avg_Semantic_Similarity,Expected_Source_Found_Rate,Avg_Retrieval_Precision,Avg_Retrieval_Recall,Avg_Answer_Length,Avg_Source_Diversity,Avg_Memory_Delta_MB,Avg_Peak_Traced_Memory_MB,Avg_Context_Characters,Answer_Coverage,CI95_Latency,CI95_Quality,CI95_ROUGE_L,Latency_Normalized,Quality_Normalized,Final_Score
1,30,0.9920333333333333,0.1651758693517063,0.758,1.518,14,16,2.566666666666667,1.7943077299853163,0.08558,0.15847666666666665,0.22309367552100456,0.06597666666666667,0.12560666666666667,0.1306,0.6333333333333333,0.6333333333333333,0.40555555555555556,132.56666666666666,1.0,0.0,0.07603333333333333,572.6333333333333,0.4666666666666667,0.0591074257383111,0.6420847749616463,0.07983304649946696,0.004424943419588152,0.18076566666666666,0.45490400576052686
2,30,0.9484333333333334,0.1321236837818713,0.75,1.154,15,15,2.7,1.7840287611722112,0.09066333333333333,0.17264,0.22188220173839057,0.07490333333333334,0.15181666666666666,0.15116666666666667,0.7666666666666667,0.6666666666666666,0.55,147.76666666666668,0.75,0.0,0.07316666666666666,1141.0666666666666,0.5,0.04727985303216679,0.6384064932115842,0.07939952617400528,0.0,0.1997215,0.499874675
3,30,1.3295,1.0557907234505037,0.774,4.523,17,13,2.966666666666667,1.809616711814455,0.09171333333333333,0.19582666666666668,0.22770935639210294,0.07769666666666668,0.19820333333333331,0.17370333333333335,0.8333333333333334,0.6888888888888889,0.6555555555555556,183.43333333333334,0.6555555555555554,0.0,0.07813333333333333,1741.8333333333333,0.5666666666666667,0.37780985822251245,0.647563023752747,0.0814847466866128,0.03867427612594172,0.23101899999999997,0.540668139219256
5,30,1.7673333333333334,1.4211533279731627,0.827,4.899,18,12,3.1333333333333333,1.8332810859848756,0.07050666666666668,0.17561666666666667,0.16338713511026573,0.06350666666666667,0.20304,0.14729333333333333,0.8333333333333334,0.6333333333333333,0.7388888888888889,224.0,0.5466666666666667,0.0,0.0864,2914.233333333333,0.6,0.5085531871309,0.6560312112937698,0.058467335410610756,0.08310977445643901,0.23234200000000002,0.55570972288649
7,30,1.7341333333333333,1.406755345573228,0.817,4.562,19,11,3.3,1.8222759547259615,0.09087666666666668,0.19284333333333334,0.20780161574383182,0.06906666666666667,0.20920666666666668,0.16484333333333331,0.9,0.6047619047619047,0.8111111111111111,220.2,0.4857142857142857,0.0,0.092,4099.766666666666,0.6333333333333333,0.5034009352988024,0.6520930756497456,0.07436085318689267,0.07974032212776178,0.25160483333333333,0.5861629994633366
10,30,2.8785000000000003,2.52865909334272,0.806,7.426,20,10,3.4,1.792705526138712,0.08529,0.18995,0.18868686658241393,0.06260333333333333,0.20787000000000003,0.16621333333333332,0.9333333333333333,0.6066666666666667,0.888888888888889,280.4,0.38999999999999996,0.0,0.10846666666666667,5852.166666666667,0.6666666666666666,0.9048690354340545,0.6415114336784886,0.0675207280463418,0.1958815549548879,0.2548781666666667,0.5866299751201336
15,30,7.041733333333334,2.6697873599083577,0.983,10.004,21,9,3.6333333333333333,1.7904600320690718,0.08644666666666666,0.19053333333333333,0.187078706160938,0.06893666666666666,0.21256333333333333,0.16183,0.9333333333333333,0.5666666666666667,0.888888888888889,280.06666666666666,0.3044444444444444,0.0,0.13836666666666667,8843.7,0.7,0.955371137032461,0.640707893945427,0.06694525523024127,0.6184061407930392,0.271957,0.5164771996191699
20,30,10.801666666666668,1.0864994512061479,9.178,12.827,20,10,3.466666666666667,1.8332810859848758,0.08634666666666667,0.18570333333333336,0.19422165880026468,0.06162,0.21445666666666666,0.15308666666666668,0.9666666666666667,0.5433333333333333,0.9055555555555556,282.1,0.25166666666666665,0.0,0.1591,11783.766666666666,0.6666666666666666,0.38879883531982595,0.65603121129377,0.0695013280049048,1.0,0.2594746666666667,0.43120804444444444
